"id_manager";"Manager";"id_staff";"staff";"total_cust"
"1143";"Anthony Bow";"1165";"Leslie Jennings";"6"
"1143";"Anthony Bow";"1166";"Leslie Thompson";"6"
"1143";"Anthony Bow";"1188";"Julie Firrelli";"6"
"1143";"Anthony Bow";"1216";"Steve Patterson";"6"
"1143";"Anthony Bow";"1286";"Foon Yue Tseng";"7"
"1143";"Anthony Bow";"1323";"George Vanauf";"8"
"1002";"Diane Murphy";"1056";"Mary Patterson";"0"
"1002";"Diane Murphy";"1076";"Jeff Firrelli";"0"
"1102";"Gerard Bondur";"1337";"Loui Bondur";"6"
"1102";"Gerard Bondur";"1370";"Gerard Hernandez";"7"
"1102";"Gerard Bondur";"1401";"Pamela Castillo";"10"
"1102";"Gerard Bondur";"1501";"Larry Bott";"8"
"1102";"Gerard Bondur";"1504";"Barry Jones";"9"
"1102";"Gerard Bondur";"1702";"Martin Gerard";"6"
"1621";"Mami Nishi";"1625";"Yoshimi Kato";"0"
"1056";"Mary Patterson";"1088";"William Patterson";"0"
"1056";"Mary Patterson";"1102";"Gerard Bondur";"0"
"1056";"Mary Patterson";"1143";"Anthony Bow";"0"
"1056";"Mary Patterson";"1621";"Mami Nishi";"5"
"1088";"William Patterson";"1611";"Andy Fixter";"5"
"1088";"William Patterson";"1612";"Peter Marsh";"5"
"1088";"William Patterson";"1619";"Tom King";"0"
